id,質問,回答,メモ
target,対象業務名,月次経費データ突合の夜間長時間エージェントへの委任(ミドリ精機 情報システム部門・外部 admission point 構成),
L1.Q1,判断基準は文書化され、暗黙知に依存していないか,yes,経費突合の判断基準が突合規定として文書化済みだから yes
L1.Q2,例外ケースは(暗黙でなく)例外手続きとして明文化されているか,yes,金額不一致など例外時の手続きが規定に明文化されているから yes
L1.Q3,規定集は版管理されているか(改定日・理由・履歴を辿れるか),yes,突合規定は版管理され改定日・理由・履歴を辿れるから yes
L1.Q4,SOP は第三者が読んで再現できる粒度で書かれているか,yes,SOP は第三者が同じ突合手順を再現できる粒度だから yes
L2.Q1,規定の各条項を「どの入力を・どの条件で・どう判定するか」の三つ組に落とせるか,yes,突合条項を入力・条件・判定の三つ組へ分解できているから yes
L2.Q2,決定論的処理・LLM の推論・人間へのエスカレーションの線引きが明確か,yes,決定論的な突合・LLM 推論・人間対応の線引きが明確だから yes
L2.Q3,判定ロジックの変更時に精度劣化を検出する回帰テストがあるか,yes,突合ロジック変更時に精度劣化を検出する回帰テストがあるから yes
L3.Q1,第三者が同一入力で同じ判定を採点できるか,yes,採点基準が明文化され第三者が同一入力で採点できるから yes
L3.Q2,判定根拠を規定の条番号(または SOP のステップ番号)に紐付けられるか,yes,判定根拠を突合規定の条番号に紐付けられるから yes
L3.Q3,正解を定義しにくい領域(倫理判断・新規ポリシー策定)を委任対象から除外できているか,yes,正解を定義しにくい判断は委任対象から除外しているから yes
L3.Q4,後から監査ログで判定を再現できるか,yes,監査ログから過去の判定を再現できるから yes
L4.Q1,職務分掌を保つため「判定」と「実行」が分離されているか,yes,不一致の判定と修正の実行を別権限に分離しているから yes
L4.Q2,判定根拠(参照規定 + チェック項目)をログから取り出せるか,yes,参照規定とチェック項目をログから取り出せるから yes
L4.Q3,監査ログは Who/When/What/Why/Result を構造化スキーマで記録しているか,yes,Who/When/What/Why/Result を構造化スキーマで記録しているから yes
L4.Q4,規定改定後も過去判定を再検証できるよう、規定バージョンをログに固定しているか,yes,規定バージョンをログに固定し過去判定を再検証できるから yes
L4.Q5,誤承認の補正フローが設計され、ログに残るか,yes,誤承認の補正フローが設計されログに残るから yes
efficacy.E1,削減数値の分母・基準値・期間を説明できるか,yes,突合工数の削減を分母・基準値・期間つきで説明できるから yes
efficacy.E2,期待値(ベンダー試算)と実績(自社実測)を区別しているか,yes,ベンダー試算と自社実測を区別して管理しているから yes
efficacy.E3,数値の対象範囲(業務全体か一部か)を明示しているか,yes,数値の対象範囲(月次経費突合のみ)を明示しているから yes
efficacy.E4,AI 起因の誤承認・誤差し戻しを効率とは別に集計しているか,yes,AI 起因の誤判定・差し戻しを効率とは別に集計しているから yes
organization.C1,8〜12 ヶ月以内に「やめる」と決められる権限と文化があるか,yes,8〜12 ヶ月以内に中止を決められる権限と文化があるから yes
organization.C2,受け皿となる全社リテラシー層(ビジネス側人材)が 2 桁人数まで育っているか,yes,ビジネス側のリテラシー層が 2 桁人数まで育っているから yes
organization.C3,AI ツール基盤(Copilot・社内チャット・RAG)が個人レベルで定着しているか,yes,Copilot・社内チャット等が個人レベルで定着しているから yes
