id,質問,回答,メモ
target,対象業務名,経理部の AI 委任運用台帳(経費チェック・仕訳突合など複数タスクの委任管理)(ミドリ精機 経理部・従来チケット運用のまま AI 委任を始めた構成),
L1.Q1,判断基準は文書化され、暗黙知に依存していないか,yes,経費チェック・仕訳突合の判断基準が経理規定として文書化済みだから yes
L1.Q2,例外ケースは(暗黙でなく)例外手続きとして明文化されているか,yes,例外精算など例外時の手続きが規定に明文化されているから yes
L1.Q3,規定集は版管理されているか(改定日・理由・履歴を辿れるか),yes,経理規定は版管理され改定日・理由・履歴を辿れるから yes
L1.Q4,SOP は第三者が読んで再現できる粒度で書かれているか,yes,SOP は第三者が同じ処理を再現できる粒度で書かれているから yes
L2.Q1,規定の各条項を「どの入力を・どの条件で・どう判定するか」の三つ組に落とせるか,yes,規定の条項を入力・条件・判定の三つ組へ分解できているから yes
L2.Q2,決定論的処理・LLM の推論・人間へのエスカレーションの線引きが明確か,yes,決定論的チェック・LLM 推論・人間対応の線引きが明確だから yes
L2.Q3,判定ロジックの変更時に精度劣化を検出する回帰テストがあるか,yes,判定ロジック変更時に精度劣化を検出する回帰テストがあるから yes
L3.Q1,第三者が同一入力で同じ判定を採点できるか,yes,採点基準が明文化され第三者が同一入力で採点できるから yes
L3.Q2,判定根拠を規定の条番号(または SOP のステップ番号)に紐付けられるか,yes,判定根拠を経理規定の条番号に紐付けられるから yes
L3.Q3,正解を定義しにくい領域(倫理判断・新規ポリシー策定)を委任対象から除外できているか,yes,正解を定義しにくい判断は委任対象から除外しているから yes
L3.Q4,後から監査ログで判定を再現できるか,yes,監査ログから過去の判定を再現できるから yes
L4.Q1,職務分掌を保つため「判定」と「実行」が分離されているか,yes,判定と実行(仕訳反映)を別権限に分離しているから yes
L4.Q2,判定根拠(参照規定 + チェック項目)をログから取り出せるか,yes,参照規定とチェック項目をログから取り出せるから yes
L4.Q3,監査ログは Who/When/What/Why/Result を構造化スキーマで記録しているか,yes,Who/When/What/Why/Result を構造化スキーマで記録しているから yes
L4.Q4,規定改定後も過去判定を再検証できるよう、規定バージョンをログに固定しているか,yes,規定バージョンをログに固定し過去判定を再検証できるから yes
L4.Q5,誤承認の補正フローが設計され、ログに残るか,yes,誤承認の補正フローが設計されログに残るから yes
efficacy.E1,削減数値の分母・基準値・期間を説明できるか,yes,処理工数の削減を分母・基準値・期間つきで説明できるから yes
efficacy.E2,期待値(ベンダー試算)と実績(自社実測)を区別しているか,yes,ベンダー試算と自社実測を区別して管理しているから yes
efficacy.E3,数値の対象範囲(業務全体か一部か)を明示しているか,yes,数値の対象範囲(委任済みタスクのみ)を明示しているから yes
efficacy.E4,AI 起因の誤承認・誤差し戻しを効率とは別に集計しているか,yes,AI 起因の誤承認・誤差し戻しを効率とは別に集計しているから yes
organization.C1,8〜12 ヶ月以内に「やめる」と決められる権限と文化があるか,yes,8〜12 ヶ月以内に中止を決められる権限と文化があるから yes
organization.C2,受け皿となる全社リテラシー層(ビジネス側人材)が 2 桁人数まで育っているか,yes,ビジネス側のリテラシー層が 2 桁人数まで育っているから yes
organization.C3,AI ツール基盤(Copilot・社内チャット・RAG)が個人レベルで定着しているか,yes,Copilot・社内チャット等が個人レベルで定着しているから yes
organization.C4,知識移転契約で内面化(SECI の I)を KPI にできるか(例: IPA モデル契約),yes,知識移転契約で内面化を KPI にできる体制があるから yes
organization.C5,拡大期の漸進分割(Stream-aligned から Complicated-Subsystem / Platform への切り出し)を事前に設計できるか,yes,拡大期のチーム切り出しを事前に設計できているから yes
organization.C6,bus factor 対策(ペアプロ・ADR・Knowledge Transfer Day)を運用しているか,yes,ペアプロ・ADR 等の bus factor 対策を運用しているから yes
L_ledger_accountability.LA1,委任 1 件ごとに、実行した AI エージェントとその時点で説明責任を負っていた人間を一意に再現できる形で記録しているか(台帳上の別々の項目でも、版管理された責任者台帳との参照関係でもよく、専用フィールド・説明文テンプレートの項目のいずれでもよい)。1 つの欄に混在して読み分けられない記録や、現在の担当者から後付けで推測する構成は no,no,担当欄 1 本に実行主体と説明責任者が混在し読み分けられないから no
L_ledger_accountability.LA2,委任の記録に必ず残す項目(実行主体・説明責任者・依頼内容・受入判断など)が標準として定義され、直近の委任が実際にその形で記録されていることを確認したか(テンプレート・フィールド・スキーマなど方式は問わない)。標準を定めただけで実記録を確認していない場合は no,yes,チケットの記入標準があり直近の実記録も標準どおりと確認済みだから yes
L_ledger_accountability.LA3,説明責任者を起点に、その人が説明責任を負う委任の一覧を、管理している記録から実際に出力し、台帳自身とは独立の記録(エージェントの実行ログ・依頼の受付記録・契約一覧、または台帳とは独立に確立された統制総数)と突合して、漏れと不一致の処理を記録したか(台帳に登録しない委任は実行できないことを強制する予防統制の検証記録があれば、独立母集団の代わりにしてよい。フィールド検索でも、説明文テンプレートを解析するスクリプトでもよい)。「出せるはず」、台帳自身から算出した総数との突合、台帳を台帳自身と照合しただけの確認は no,no,「出せるはず」のままで一覧の実出力も独立記録との突合も無いから no
L_ledger_accountability.LA4,承認・受入の実態を、能動的な精査の指標(指摘・修正要求の件数など)で期間・母数つきで観測し、比較の基準(前期間との反復比較または基準値)と突き合わせて、承認率が高止まりしつつ精査が痩せる「名目化」に気づける運用の記録があるか(抜き取り再検査は見逃し率を直接測れるため、比較期間なしでも数えてよい)。レビューの待ち時間(滞留時間)は精査の指標として数えない,no,能動的精査の指標での観測が無く名目化に気づけないから no
L_ledger_cost.LC1,AI 委任にかかった支出(API・ツール課金)を、管理している記録から委任単位または集計単位で、利用中のツール横断で抽出できることを、実際に 1 回集計して確認したか(エクスポート + スクリプトでもよい)。請求書の月次総額しか見ていない場合は no,yes,請求書明細のエクスポートをツール横断で月次集計済みだから yes
L_ledger_cost.LC2,同一期間・同一対象範囲の支出と、委任の目的に対応する採用・利用された成果単位(マージ・受入済みの成果物、正常処理された件数、正検知の件数など)を対応付けて、成果あたりコストを算出しているか(厳密な個別原価でなくてよいが、成果単位の定義・品質条件・配賦のしかたと限界を記録していること)。範囲の合わない総支出を無関係な件数で割った数字は no,no,月次総額を委任件数で割った参考値のみで範囲の対応づけが無いから no
L_ledger_cost.LC3,利用している AI サービスを一覧で押さえ、課金条件の変化(従量課金への移行予告・credit 制の変更など)が実際に届く経路(公式通知の購読・リリースノート確認など)と、そのサービスが保証する通知猶予より短い確認周期(またはイベント駆動の確認)を責任者つきで決めて、直近の確認記録があるか(条件変化を受けて委任量・上限を見直した記録、または見直し不要と判断した記録まで含める)。契約上、課金条件が変わりえないサービスは、その根拠と次回の契約更新確認日を記録していれば yes に数えてよい,yes,責任者・通知購読・月次確認を整備し直近の見直し不要判断の記録があるから yes
