id,質問,回答,メモ
target,対象業務名,顧客問い合わせ一次回答エージェント(ミドリ精機 顧客サポート部門),
L1.Q1,判断基準は文書化され、暗黙知に依存していないか,yes,問い合わせ対応の判断基準は応対規程として社内ポータルに掲載。回答可否の分岐も条文化されている
L1.Q2,例外ケースは(暗黙でなく)例外手続きとして明文化されているか,yes,クレームや技術照会など通常フロー外の問い合わせは、応対規程の例外条項に手続きと承認経路を明記
L1.Q3,規定集は版管理されているか(改定日・理由・履歴を辿れるか),yes,応対規程は社内ポータルで版管理。改定日・理由・履歴が残り、製品改定に合わせ年 2 回見直し
L1.Q4,SOP は第三者が読んで再現できる粒度で書かれているか,yes,応対 SOP は社内 wiki にあり、着任 1 ヶ月の新人が SOP のみで一次回答を起案できる粒度
L2.Q1,規定の各条項を「どの入力を・どの条件で・どう判定するか」の三つ組に落とせるか,yes,規程の各条項を問い合わせ種別・条件・回答可否の三つ組表に整理し、エージェント仕様に反映済み
L2.Q2,決定論的処理・LLM の推論・人間へのエスカレーションの線引きが明確か,yes,定型 FAQ はテンプレート回答、個別事情の読み取りは LLM、クレームは人間へ、と分岐表で固定
L2.Q3,判定ロジックの変更時に精度劣化を検出する回帰テストがあるか,yes,プロンプトや判定ルールの変更時は過去問い合わせ 300 件のセットで回帰テストを GitLab CI が実行
L3.Q1,第三者が同一入力で同じ判定を採点できるか,yes,採点基準書と過去対応の正解セットがあり、別の担当者が同一の問い合わせから同じ判定を再現できる
L3.Q2,判定根拠を規定の条番号(または SOP のステップ番号)に紐付けられるか,yes,一次回答ドラフトに応対規程の条番号を自動付記。根拠の無い回答はレビューで差し戻す運用
L3.Q3,正解を定義しにくい領域(倫理判断・新規ポリシー策定)を委任対象から除外できているか,yes,補償判断や新製品の対応方針など正解を定義しにくい問い合わせは委任対象外と規程で明記
L3.Q4,後から監査ログで判定を再現できるか,yes,問い合わせ本文・参照条項・回答案を ELK Stack の監査ログに残し、過去の起案を再現できる
L4.Q1,職務分掌を保つため「判定」と「実行」が分離されているか,yes,回答起案(判定)はエージェント、送信(実行)は担当者の承認操作と分離。エージェントに送信権限は無い
L4.Q2,判定根拠(参照規定 + チェック項目)をログから取り出せるか,yes,参照した規程条項とチェック項目を問い合わせ ID で ELK のログから取り出せる
