id,質問,回答,メモ
target,対象業務名,週次クライアントブリーフィング自動作成の自前 Kestra 常駐 worker への委任(ミドリ精機 営業部門),
L1.Q1,判断基準は文書化され、暗黙知に依存していないか,yes,ブリーフィング資料の記載基準が作成規定として文書化済みだから yes
L1.Q2,例外ケースは(暗黙でなく)例外手続きとして明文化されているか,yes,顧客都合の変更など例外時の手続きが規定に明文化されているから yes
L1.Q3,規定集は版管理されているか(改定日・理由・履歴を辿れるか),yes,作成規定は版管理され改定日・理由・履歴を辿れるから yes
L1.Q4,SOP は第三者が読んで再現できる粒度で書かれているか,yes,SOP は第三者が同じ資料を再現できる粒度で書かれているから yes
L2.Q1,規定の各条項を「どの入力を・どの条件で・どう判定するか」の三つ組に落とせるか,yes,記載項目ごとに入力・条件・判定の三つ組へ分解できているから yes
L2.Q2,決定論的処理・LLM の推論・人間へのエスカレーションの線引きが明確か,yes,定型集計・LLM 要約・人間確認の線引きを設計済みだから yes
L2.Q3,判定ロジックの変更時に精度劣化を検出する回帰テストがあるか,yes,判定ロジック変更時に品質劣化を検出する回帰テストがあるから yes
L3.Q1,第三者が同一入力で同じ判定を採点できるか,yes,採点基準が明文化され第三者が同一入力で採点できるから yes
L3.Q2,判定根拠を規定の条番号(または SOP のステップ番号)に紐付けられるか,yes,判定根拠を作成規定の条番号に紐付けられるから yes
L3.Q3,正解を定義しにくい領域(倫理判断・新規ポリシー策定)を委任対象から除外できているか,yes,新規提案の企画など正解の無い領域は委任対象外だから yes
L3.Q4,後から監査ログで判定を再現できるか,yes,監査ログから過去の判定を再現できるから yes
L4.Q1,職務分掌を保つため「判定」と「実行」が分離されているか,yes,資料の承認(判定)と顧客送付(実行)を分離しているから yes
L4.Q2,判定根拠(参照規定 + チェック項目)をログから取り出せるか,yes,参照規定とチェック項目をログから取り出せるから yes
L4.Q3,監査ログは Who/When/What/Why/Result を構造化スキーマで記録しているか,yes,Who/When/What/Why/Result を構造化スキーマで記録しているから yes
L4.Q4,規定改定後も過去判定を再検証できるよう、規定バージョンをログに固定しているか,yes,規定バージョンをログに固定し過去判定を再検証できるから yes
L4.Q5,誤承認の補正フローが設計され、ログに残るか,yes,誤承認の補正フローが設計されログに残るから yes
efficacy.E1,削減数値の分母・基準値・期間を説明できるか,yes,作成工数の削減を分母・基準値・期間つきで説明できるから yes
efficacy.E2,期待値(ベンダー試算)と実績(自社実測)を区別しているか,yes,ベンダー試算と自社実測を区別して管理しているから yes
efficacy.E3,数値の対象範囲(業務全体か一部か)を明示しているか,yes,数値の対象範囲(週次ブリーフィング業務のみ)を明示しているから yes
efficacy.E4,AI 起因の誤承認・誤差し戻しを効率とは別に集計しているか,yes,AI 起因の誤記載・差し戻しを効率とは別に集計しているから yes
organization.C1,8〜12 ヶ月以内に「やめる」と決められる権限と文化があるか,yes,8〜12 ヶ月以内に中止を決められる権限と文化があるから yes
organization.C2,受け皿となる全社リテラシー層(ビジネス側人材)が 2 桁人数まで育っているか,yes,ビジネス側のリテラシー層が 2 桁人数まで育っているから yes
organization.C3,AI ツール基盤(Copilot・社内チャット・RAG)が個人レベルで定着しているか,yes,Copilot・社内チャット等が個人レベルで定着しているから yes
organization.C4,知識移転契約で内面化(SECI の I)を KPI にできるか(例: IPA モデル契約),yes,知識移転契約で内面化を KPI にできる体制があるから yes
organization.C5,拡大期の漸進分割(Stream-aligned から Complicated-Subsystem / Platform への切り出し)を事前に設計できるか,yes,拡大期のチーム切り出しを事前に設計できているから yes
organization.C6,bus factor 対策(ペアプロ・ADR・Knowledge Transfer Day)を運用しているか,yes,ペアプロ・ADR 等の bus factor 対策を運用しているから yes
L_unattended_surface.U1,監督端末が 1 台もオンラインでなくても実行されるタスクを棚卸しし、それぞれに無人実行してよいという承認の記録があるか,yes,Flow 一覧が無人実行タスクの台帳。追加時にレビューで承認(組織側統制)
L_unattended_surface.U2,無人実行の予定・実績・失敗を監視し、予定外の起動・失敗・逸脱を期待した時間内に検知した実績があるか,yes,失敗 run の日次トリアージで、予定外失敗を翌朝までに検知した実績あり
L_unattended_surface.U3,無人実行中のタスクを止める手段と権限者が特定され、実際に止まることを試験で確認しているか,yes,実行中 run の kill を運用で実施済み(停止権限は運用者)
L_unattended_surface.U4,どのサーフェス(desktop / web / mobile / server)から何ができるかを棚卸しし、委任判断がその非対称を前提に書かれているか,yes,server 実行のみで能力が一意。到達可能な資源を構成管理で把握
L_unattended_supervision.S1,クラウドに常駐させてはならないデータの基準があり、直近の棚卸しで禁止データが常駐していないことを確認して例外を記録したか,yes,常駐禁止データ基準あり。リポジトリの denylist で機械的に排除・例外記録あり
L_unattended_supervision.S2,承認要求が承認者に届き応答されるまでの実測値を持ち、応答されないまま期限切れになったときのエスカレーション経路を定義しているか,no,Discord 承認の到達・応答時間は未実測。期限切れ時のエスカレーション未定義
L_unattended_supervision.S3,承認が無い限り外部へ何も出ないことを、試験(試験送信など)で実際に確認したか,no,承認なしで外部投稿する worker が存在し、fail-closed の試験をしていない
