id,質問,回答,メモ
target,対象業務名,経費精算承認(ミドリ精機・経理部、FY2026 下期 改善後の再診断 + 自社ルール),
L1.Q1,判断基準は文書化され、暗黙知に依存していないか,yes,経費規程は社内ポータルの規程集に全条文が掲載され、金額上限・精算期限も条文で確認できる
L1.Q2,例外ケースは(暗黙でなく)例外手続きとして明文化されているか,yes,海外出張・慶弔費は経費規程の別表に例外手続きとして明文化され、承認ルートも指定されている
L1.Q3,規定集は版管理されているか(改定日・理由・履歴を辿れるか),yes,規程集は社内ポータルで改定日・理由・履歴つきの版管理。経費規程は年 1 回改定で J-SOX 文書に含めている
L1.Q4,SOP は第三者が読んで再現できる粒度で書かれているか,yes,改善: 社内 wiki の SOP を画面操作と判断分岐の単位まで詳細化し、着任 2 ヶ月の担当者が単独で一巡できることを確認した
L2.Q1,規定の各条項を「どの入力を・どの条件で・どう判定するか」の三つ組に落とせるか,yes,経費規程の金額上限・領収書要件は、ワークフロー SaaS の申請項目を入力とする条件式に書き下せる
L2.Q2,決定論的処理・LLM の推論・人間へのエスカレーションの線引きが明確か,yes,改善: 金額・添付の定型チェックはルールエンジン、按分など解釈を伴う判定は LLM 補助、低確信は人間へ、と経費チェックエージェントの分担表を定めた
L2.Q3,判定ロジックの変更時に精度劣化を検出する回帰テストがあるか,yes,改善: 過去 6 ヶ月の申請データから回帰テストを作って GitLab CI に組み込み、判定ルール変更のたびに精度を検証している
L3.Q1,第三者が同一入力で同じ判定を採点できるか,yes,経費規程とワークフロー SaaS に残る申請・領収書データがあれば、別の担当者でも同じ判定を付けられる
L3.Q2,判定根拠を規定の条番号(または SOP のステップ番号)に紐付けられるか,yes,差し戻し連絡に経費規程の条番号を添える運用が定着しており、判定と条文の対応を辿れる
L3.Q3,正解を定義しにくい領域(倫理判断・新規ポリシー策定)を委任対象から除外できているか,yes,委任するのは規程で正誤が決まる経費チェックのみで、交際費の妥当性のような解釈判断は人間に残す整理ができている
L3.Q4,後から監査ログで判定を再現できるか,yes,改善: 承認記録を ELK Stack のログに一本化し、申請 ID から判定の経緯を通しで再現できるようにした
L4.Q1,職務分掌を保つため「判定」と「実行」が分離されているか,yes,改善: ワークフロー SaaS の権限を分割し、承認は経理課長、振込データ作成は別担当だけが行える設定にした
L4.Q2,判定根拠(参照規定 + チェック項目)をログから取り出せるか,yes,改善: エージェントが参照規程の条番号とチェック項目一覧をログに書き込み、ELK から申請 ID で取り出せるようにした
L4.Q3,監査ログは Who/When/What/Why/Result を構造化スキーマで記録しているか,yes,改善: ELK のログスキーマに判断根拠(why)欄を追加し、エージェントが参照規定 ID を書き込む
L4.Q4,規定改定後も過去判定を再検証できるよう、規定バージョンをログに固定しているか,yes,改善: 規程の版番号をログの必須項目にし、年 1 回の改定後も当時の条文で過去判定を再検証できるようにした
L4.Q5,誤承認の補正フローが設計され、ログに残るか,yes,改善: 誤承認の取消・再申請フローをワークフロー SaaS に実装し、補正の経緯が ELK のログにも残るようにした
efficacy.E1,削減数値の分母・基準値・期間を説明できるか,yes,月約 1200 件の申請件数と 1 件あたりの処理時間を分母・基準値に、FY2026 通期の削減見込みを算定している
efficacy.E2,期待値(ベンダー試算)と実績(自社実測)を区別しているか,yes,ベンダー試算の期待値と、ワークフロー SaaS から実測した処理時間を、月次のスプレッドシート集計で別列に分けている
efficacy.E3,数値の対象範囲(業務全体か一部か)を明示しているか,yes,改善: 削減数値の対象を「経費精算の一次チェックのみ」と資料に明示し、業務全体の数字と分けて報告する様式にした
efficacy.E4,AI 起因の誤承認・誤差し戻しを効率とは別に集計しているか,yes,AI 起因の誤承認・誤差し戻しは効率の集計とは別に、Redmine チケットで件数を数える枠を決めている
organization.C1,8〜12 ヶ月以内に「やめる」と決められる権限と文化があるか,yes,経営会議で「12 ヶ月で成果が無ければやめる」と決裁済みで、撤退判断の期限と責任者が議事録に残っている
organization.C2,受け皿となる全社リテラシー層(ビジネス側人材)が 2 桁人数まで育っているか,yes,経理・購買のリテラシー人材が 12 名に達し、月 1 回の勉強会でエージェントの判定結果レビューを持ち回りしている
organization.C3,AI ツール基盤(Copilot・社内チャット・RAG)が個人レベルで定着しているか,yes,全社の社内 AI チャットが経理部員の日常業務に定着し、規程の検索や資料要約は AI 前提の進め方になっている
organization.C4,知識移転契約で内面化(SECI の I)を KPI にできるか(例: IPA モデル契約),yes,ベンダー契約に IPA モデル契約を基にした知識移転条項を入れ、内面化の到達度を KPI として合意している
organization.C5,拡大期の漸進分割(Stream-aligned から Complicated-Subsystem / Platform への切り出し)を事前に設計できるか,yes,拡大期には経費チェックエージェントの基盤部分を情報システム部門へ切り出す分割計画を、体制図つきで文書化している
organization.C6,bus factor 対策(ペアプロ・ADR・Knowledge Transfer Day)を運用しているか,yes,判定ルールの変更はペア作業とし、設計判断は ADR として GitLab に残す運用を回している
L1.MIDORI_Q5,規程集は直近 12 ヶ月以内に法務のレビューを受けているか,yes,規程集は半年前の FY2026 上期に法務部のレビューを受け、指摘 2 件を反映済み
L4.MIDORI_Q6,監査ログは改ざん検知可能なストア(WORM・ハッシュチェーン・署名)に保存されているか,yes,ELK に集約した監査ログをハッシュチェーン付きストアへ転送し、改ざんがあれば検知できる構成にしている
