id,質問,回答,メモ
target,対象業務名,経理部の AI 委任運用台帳(経費チェック・仕訳突合など複数タスクの委任管理)(ミドリ精機 経理部・説明文テンプレート + 抽出スクリプト構成),
L1.Q1,判断基準は文書化され、暗黙知に依存していないか,yes,
L1.Q2,例外ケースは(暗黙でなく)例外手続きとして明文化されているか,yes,
L1.Q3,規定集は版管理されているか(改定日・理由・履歴を辿れるか),yes,
L1.Q4,SOP は第三者が読んで再現できる粒度で書かれているか,yes,
L2.Q1,規定の各条項を「どの入力を・どの条件で・どう判定するか」の三つ組に落とせるか,yes,
L2.Q2,決定論的処理・LLM の推論・人間へのエスカレーションの線引きが明確か,yes,
L2.Q3,判定ロジックの変更時に精度劣化を検出する回帰テストがあるか,yes,
L3.Q1,第三者が同一入力で同じ判定を採点できるか,yes,
L3.Q2,判定根拠を規定の条番号(または SOP のステップ番号)に紐付けられるか,yes,
L3.Q3,正解を定義しにくい領域(倫理判断・新規ポリシー策定)を委任対象から除外できているか,yes,
L3.Q4,後から監査ログで判定を再現できるか,yes,
L4.Q1,職務分掌を保つため「判定」と「実行」が分離されているか,yes,
L4.Q2,判定根拠(参照規定 + チェック項目)をログから取り出せるか,yes,
L4.Q3,監査ログは Who/When/What/Why/Result を構造化スキーマで記録しているか,yes,
L4.Q4,規定改定後も過去判定を再検証できるよう、規定バージョンをログに固定しているか,yes,
L4.Q5,誤承認の補正フローが設計され、ログに残るか,yes,
efficacy.E1,削減数値の分母・基準値・期間を説明できるか,yes,
efficacy.E2,期待値(ベンダー試算)と実績(自社実測)を区別しているか,yes,
efficacy.E3,数値の対象範囲(業務全体か一部か)を明示しているか,yes,
efficacy.E4,AI 起因の誤承認・誤差し戻しを効率とは別に集計しているか,yes,
organization.C1,8〜12 ヶ月以内に「やめる」と決められる権限と文化があるか,yes,
organization.C2,受け皿となる全社リテラシー層(ビジネス側人材)が 2 桁人数まで育っているか,yes,
organization.C3,AI ツール基盤(Copilot・社内チャット・RAG)が個人レベルで定着しているか,yes,
organization.C4,知識移転契約で内面化(SECI の I)を KPI にできるか(例: IPA モデル契約),yes,
organization.C5,拡大期の漸進分割(Stream-aligned から Complicated-Subsystem / Platform への切り出し)を事前に設計できるか,yes,
organization.C6,bus factor 対策(ペアプロ・ADR・Knowledge Transfer Day)を運用しているか,yes,
L_ledger_accountability.LA1,委任 1 件ごとに、実行した AI エージェントと説明責任を負う人間が、台帳上の別々の項目として記録されているか(専用フィールドでも説明文テンプレートの項目でもよい)。1 つの欄に混在し、実行主体と説明責任者を読み分けられない記録は no,yes,
L_ledger_accountability.LA2,委任の記録に必ず残す項目(実行主体・説明責任者・依頼内容・受入判断など)が標準として定義され、直近の委任が実際にその形で記録されていることを確認したか(テンプレート・フィールド・スキーマなど方式は問わない)。標準を定めただけで実記録を確認していない場合は no,yes,
L_ledger_accountability.LA3,説明責任者を起点に、その人が説明責任を負う委任の一覧を、管理している記録から実際に出力し、漏れがないことを照合した記録があるか(フィールド検索でも、説明文テンプレートを解析するスクリプトでもよい)。「出せるはず」は no,yes,
L_ledger_accountability.LA4,承認・受入の実態を、能動的な精査の指標(指摘・修正要求の件数、抜き取り再検査の結果など)で期間・母数つきで観測し、承認率が高止まりしつつ精査が痩せる「名目化」に気づける運用の記録があるか。レビューの待ち時間(滞留時間)は精査の指標として数えない,no,
L_ledger_cost.LC1,AI 委任にかかった支出(API・ツール課金)を、管理している記録から委任単位または集計単位で、利用中のツール横断で抽出できることを、実際に 1 回集計して確認したか(エクスポート + スクリプトでもよい)。請求書の月次総額しか見ていない場合は no,yes,
L_ledger_cost.LC2,同一期間・同一対象範囲の支出と、採用された成果(マージ・受入済みの成果物の数)を対応付けて、成果あたりコストを算出しているか(厳密な個別原価でなくてよいが、配賦のしかたと限界を記録していること)。範囲の合わない総支出を無関係な件数で割った数字は no,yes,
L_ledger_cost.LC3,利用している AI サービスの課金条件の変化(従量課金への移行予告・credit 制の変更など)を確認する責任者と周期が決まっており、直近の確認記録があるか(条件変化を受けて委任量・上限を見直した記録、または見直し不要と判断した記録まで含める),yes,
