id,質問,回答,メモ
target,対象業務名,経費精算承認(ミドリ精機・経理部、FY2026 下期 改善後の再診断),
L1.Q1,判断基準は文書化され、暗黙知に依存していないか,yes,経費規程として文書化され暗黙知に依存していないから yes
L1.Q2,例外ケースは(暗黙でなく)例外手続きとして明文化されているか,yes,海外出張・慶弔費は例外手続きとして明文化されているから yes
L1.Q3,規定集は版管理されているか(改定日・理由・履歴を辿れるか),yes,J-SOX 対応で規程集を改定日・理由付きで版管理しているから yes
L1.Q4,SOP は第三者が読んで再現できる粒度で書かれているか,yes,改善: SOP を第三者が再現できる粒度まで詳細化した
L2.Q1,規定の各条項を「どの入力を・どの条件で・どう判定するか」の三つ組に落とせるか,yes,経費規程の各条項は金額上限や領収書要件など判定条件に落とせるから yes
L2.Q2,決定論的処理・LLM の推論・人間へのエスカレーションの線引きが明確か,yes,改善: 定型チェック・LLM 推論・人間へのエスカレーションの線引きを設計した
L2.Q3,判定ロジックの変更時に精度劣化を検出する回帰テストがあるか,yes,改善: 精度劣化を検出する回帰テストを整備し CI に組み込んだ
L3.Q1,第三者が同一入力で同じ判定を採点できるか,yes,規程と申請データがあれば第三者も同じ判定を採点できるから yes
L3.Q2,判定根拠を規定の条番号(または SOP のステップ番号)に紐付けられるか,yes,差し戻し時に規程の条番号を示す運用が定着しているから yes
L3.Q3,正解を定義しにくい領域(倫理判断・新規ポリシー策定)を委任対象から除外できているか,yes,委任対象を規程で正誤が決まる経費チェックに限定できているから yes
L3.Q4,後から監査ログで判定を再現できるか,yes,改善: 監査ログから判定を再現できるようにした
L4.Q1,職務分掌を保つため「判定」と「実行」が分離されているか,yes,改善: 判定と支払実行を別担当に分離し職務分掌を確保した
L4.Q2,判定根拠(参照規定 + チェック項目)をログから取り出せるか,yes,改善: 参照規程とチェック項目をログから取り出せるようにした
L4.Q3,監査ログは Who/When/What/Why/Result を構造化スキーマで記録しているか,yes,改善: Who/When/What/Why/Result の構造化スキーマでログを記録するようにした
L4.Q4,規定改定後も過去判定を再検証できるよう、規定バージョンをログに固定しているか,yes,改善: 規程バージョンをログに固定し過去判定を再検証できるようにした
L4.Q5,誤承認の補正フローが設計され、ログに残るか,yes,改善: 誤承認の補正フローを設計しログに残すようにした
efficacy.E1,削減数値の分母・基準値・期間を説明できるか,yes,月次の申請件数と処理時間を分母・基準値として説明できるから yes
efficacy.E2,期待値(ベンダー試算)と実績(自社実測)を区別しているか,yes,ベンダー試算の期待値と自社実測の実績を分けて管理しているから yes
efficacy.E3,数値の対象範囲(業務全体か一部か)を明示しているか,yes,改善: 対象範囲を「経費精算の一次チェックのみ」と明示した
efficacy.E4,AI 起因の誤承認・誤差し戻しを効率とは別に集計しているか,yes,AI 起因の誤承認・誤差し戻しを効率とは別に集計する枠を決めているから yes
organization.C1,8〜12 ヶ月以内に「やめる」と決められる権限と文化があるか,yes,12 ヶ月で成果が出なければやめると経営会議で決裁済みだから yes
organization.C2,受け皿となる全社リテラシー層(ビジネス側人材)が 2 桁人数まで育っているか,yes,経理・購買で受け皿人材を 12 名まで育成しているから yes
organization.C3,AI ツール基盤(Copilot・社内チャット・RAG)が個人レベルで定着しているか,yes,Copilot と社内チャットが経理部員の個人レベルで定着しているから yes
organization.C4,知識移転契約で内面化(SECI の I)を KPI にできるか(例: IPA モデル契約),yes,IPA モデル契約を基にベンダー契約で内面化を KPI 化できるから yes
organization.C5,拡大期の漸進分割(Stream-aligned から Complicated-Subsystem / Platform への切り出し)を事前に設計できるか,yes,拡大期にチームを切り出す漸進分割を事前に設計済みだから yes
organization.C6,bus factor 対策(ペアプロ・ADR・Knowledge Transfer Day)を運用しているか,yes,ペア作業と ADR で bus factor 対策を運用しているから yes
