id,質問,回答,メモ
target,対象業務名,週次クライアントブリーフィング自動作成の ChatGPT scheduled tasks への委任(ミドリ精機 営業部門),
L1.Q1,判断基準は文書化され、暗黙知に依存していないか,yes,ブリーフィング資料の記載 12 項目と情報源を作成規定の条文で定義し、社内ポータルで公開
L1.Q2,例外ケースは(暗黙でなく)例外手続きとして明文化されているか,yes,顧客都合の日程変更や情報源の欠損時の代替手順を、作成規定の例外条項として明文化
L1.Q3,規定集は版管理されているか(改定日・理由・履歴を辿れるか),yes,作成規定は社内ポータルの版管理下にあり、改定日・理由・履歴を規定 ID で辿れる
L1.Q4,SOP は第三者が読んで再現できる粒度で書かれているか,yes,社内 wiki の SOP は画面キャプチャ付きで、異動直後の営業事務が補足なしで資料を再現した実績あり
L2.Q1,規定の各条項を「どの入力を・どの条件で・どう判定するか」の三つ組に落とせるか,yes,記載 12 項目ごとに『参照データ・集計条件・記載可否』の三つ組表を社内 wiki に整備
L2.Q2,決定論的処理・LLM の推論・人間へのエスカレーションの線引きが明確か,yes,売上集計はスクリプト、商談メモの要約は LLM、値引きへの言及可否は人間、と処理区分表で線引き
L2.Q3,判定ロジックの変更時に精度劣化を検出する回帰テストがあるか,yes,過去 3 ヶ月分の資料を正解セットにした回帰テストを GitLab CI で毎回実行
L3.Q1,第三者が同一入力で同じ判定を採点できるか,yes,採点シートが社内 wiki にあり、担当外の 2 名が同一入力で採点して一致した記録あり
L3.Q2,判定根拠を規定の条番号(または SOP のステップ番号)に紐付けられるか,yes,資料の各記載に作成規定の条番号を脚注で残す運用。テンプレートに条番号欄あり
L3.Q3,正解を定義しにくい領域(倫理判断・新規ポリシー策定)を委任対象から除外できているか,yes,新規提案の企画や価格戦略へのコメントは委任対象外リストに明記し、人間が作成
L3.Q4,後から監査ログで判定を再現できるか,yes,入力データのスナップショットと判定結果を ELK Stack に残し、過去回の資料を再現できる
L4.Q1,職務分掌を保つため「判定」と「実行」が分離されているか,yes,内容の承認は営業課長、顧客への送付は営業事務に分離し、送付は承認済みフラグを条件に実行
L4.Q2,判定根拠(参照規定 + チェック項目)をログから取り出せるか,yes,参照した規定条番号とチェック項目を判定ログの JSON フィールドに保持し、ELK で検索できる
L4.Q3,監査ログは Who/When/What/Why/Result を構造化スキーマで記録しているか,yes,ELK Stack の監査ログスキーマに Who/When/What/Why/Result の 5 項目を必須で定義
L4.Q4,規定改定後も過去判定を再検証できるよう、規定バージョンをログに固定しているか,yes,ログに作成規定の版番号を固定記録。年度改定後も当時の版で過去判定を再検証できる
L4.Q5,誤承認の補正フローが設計され、ログに残るか,yes,誤送付時の訂正版差し替えフローを SOP 化し、補正イベントも ELK に残る
efficacy.E1,削減数値の分母・基準値・期間を説明できるか,yes,資料 1 件の作成 3 時間が 40 分に短縮。直近四半期の全 36 件を分母に計測
efficacy.E2,期待値(ベンダー試算)と実績(自社実測)を区別しているか,yes,ベンダー試算(7 割減)と自社実測(6 割減)をスプレッドシートの別列で管理
efficacy.E3,数値の対象範囲(業務全体か一部か)を明示しているか,yes,削減値の対象は週次ブリーフィング業務のみで、提案書作成は含まないと集計表に注記
efficacy.E4,AI 起因の誤承認・誤差し戻しを効率とは別に集計しているか,yes,AI 起因の誤記載による差し戻しを効率数値とは別に月次集計。直近月は 2 件
organization.C1,8〜12 ヶ月以内に「やめる」と決められる権限と文化があるか,yes,営業部長が単独で中止を決裁できる。過去に PoC 2 件を半年で撤退した前例あり
organization.C2,受け皿となる全社リテラシー層(ビジネス側人材)が 2 桁人数まで育っているか,yes,社内 AI チャットの部門推進役が全社で 30 名超。営業部門にも 4 名在籍
organization.C3,AI ツール基盤(Copilot・社内チャット・RAG)が個人レベルで定着しているか,yes,社内 AI チャットと RAG 検索を営業部門の 9 割が週 1 回以上利用
organization.C4,知識移転契約で内面化(SECI の I)を KPI にできるか(例: IPA モデル契約),yes,ベンダー委託契約に IPA モデル契約準拠の知識移転条項を入れ、内面化を KPI 化済み
organization.C5,拡大期の漸進分割(Stream-aligned から Complicated-Subsystem / Platform への切り出し)を事前に設計できるか,yes,拡大時に資料生成基盤を情報システム部門へ切り出す分割案を導入計画書に明記
organization.C6,bus factor 対策(ペアプロ・ADR・Knowledge Transfer Day)を運用しているか,yes,設計判断は ADR で記録し、月 1 回の Knowledge Transfer Day で運用ノウハウを共有
L_unattended_surface.U1,監督端末が 1 台もオンラインでなくても実行されるタスクを棚卸しし、それぞれに無人実行してよいという承認の記録があるか,yes,無人実行を許すタスクの一覧と承認記録を導入前に Redmine で整備(3 基盤案で共通の組織側統制)
L_unattended_surface.U2,無人実行の予定・実績・失敗を監視し、予定外の起動・失敗・逸脱を期待した時間内に検知した実績があるか,unknown,失敗時のリトライ回数・通知タイミングの公開情報が見つからず、社内でも検知実績を作れていない
L_unattended_surface.U3,無人実行中のタスクを止める手段と権限者が特定され、実際に止まることを試験で確認しているか,unknown,タスクの一時停止 UI はあるが停止時の挙動が未公表で、自組織での停止試験も未実施
L_unattended_surface.U4,どのサーフェス(desktop / web / mobile / server)から何ができるかを棚卸しし、委任判断がその非対称を前提に書かれているか,unknown,サーフェス別に何ができるかの公式一覧が見つからず、能力の棚卸しに着手できていない
L_unattended_supervision.S1,クラウドに常駐させてはならないデータの基準があり、直近の棚卸しで禁止データが常駐していないことを確認して例外を記録したか,yes,常駐禁止データの基準を規定化し、移行前の棚卸しで非常駐を確認。例外 2 件は台帳に記録(3 基盤案で共通)
L_unattended_supervision.S2,承認要求が承認者に届き応答されるまでの実測値を持ち、応答されないまま期限切れになったときのエスカレーション経路を定義しているか,unknown,承認要求の到達 SLA・期限切れ時の挙動とも公式情報が無く、自組織の実測もしていない
L_unattended_supervision.S3,承認が無い限り外部へ何も出ないことを、試験(試験送信など)で実際に確認したか,unknown,承認前の外部送信を止める保証の公式明言が見つからず、試験送信も行っていない
