id,質問,回答,メモ
target,対象業務名,週次クライアントブリーフィング自動作成の Claude Cowork への委任(ミドリ精機 営業部門),
L1.Q1,判断基準は文書化され、暗黙知に依存していないか,yes,
L1.Q2,例外ケースは(暗黙でなく)例外手続きとして明文化されているか,yes,
L1.Q3,規定集は版管理されているか(改定日・理由・履歴を辿れるか),yes,
L1.Q4,SOP は第三者が読んで再現できる粒度で書かれているか,yes,
L2.Q1,規定の各条項を「どの入力を・どの条件で・どう判定するか」の三つ組に落とせるか,yes,
L2.Q2,決定論的処理・LLM の推論・人間へのエスカレーションの線引きが明確か,yes,
L2.Q3,判定ロジックの変更時に精度劣化を検出する回帰テストがあるか,yes,
L3.Q1,第三者が同一入力で同じ判定を採点できるか,yes,
L3.Q2,判定根拠を規定の条番号(または SOP のステップ番号)に紐付けられるか,yes,
L3.Q3,正解を定義しにくい領域(倫理判断・新規ポリシー策定)を委任対象から除外できているか,yes,
L3.Q4,後から監査ログで判定を再現できるか,yes,
L4.Q1,職務分掌を保つため「判定」と「実行」が分離されているか,yes,
L4.Q2,判定根拠(参照規定 + チェック項目)をログから取り出せるか,yes,
L4.Q3,監査ログは Who/When/What/Why/Result を構造化スキーマで記録しているか,yes,
L4.Q4,規定改定後も過去判定を再検証できるよう、規定バージョンをログに固定しているか,yes,
L4.Q5,誤承認の補正フローが設計され、ログに残るか,yes,
efficacy.E1,削減数値の分母・基準値・期間を説明できるか,yes,
efficacy.E2,期待値(ベンダー試算)と実績(自社実測)を区別しているか,yes,
efficacy.E3,数値の対象範囲(業務全体か一部か)を明示しているか,yes,
efficacy.E4,AI 起因の誤承認・誤差し戻しを効率とは別に集計しているか,yes,
organization.C1,8〜12 ヶ月以内に「やめる」と決められる権限と文化があるか,yes,
organization.C2,受け皿となる全社リテラシー層(ビジネス側人材)が 2 桁人数まで育っているか,yes,
organization.C3,AI ツール基盤(Copilot・社内チャット・RAG)が個人レベルで定着しているか,yes,
organization.C4,知識移転契約で内面化(SECI の I)を KPI にできるか(例: IPA モデル契約),yes,
organization.C5,拡大期の漸進分割(Stream-aligned から Complicated-Subsystem / Platform への切り出し)を事前に設計できるか,yes,
organization.C6,bus factor 対策(ペアプロ・ADR・Knowledge Transfer Day)を運用しているか,yes,
L_unattended_surface.U1,監督端末が 1 台もオンラインでなくても実行されるタスクを棚卸しし、それぞれに無人実行してよいという承認の記録があるか,yes,無人実行タスク一覧と承認記録を導入前に整備(組織側統制)
L_unattended_surface.U2,無人実行の予定・実績・失敗を監視し、予定外の起動・失敗・逸脱を期待した時間内に検知した実績があるか,unknown,失敗時のリトライ・通知タイミングが公式未明示。検知実績を作れていない
L_unattended_surface.U3,無人実行中のタスクを止める手段と権限者が特定され、実際に止まることを試験で確認しているか,yes,PoC で実行中セッションの停止を試験済み(停止権限は情シス管理者)
L_unattended_surface.U4,どのサーフェス(desktop / web / mobile / server)から何ができるかを棚卸しし、委任判断がその非対称を前提に書かれているか,yes,公式サーフェス別機能表を根拠に棚卸し済み(local files 等は desktop 依存)
L_unattended_supervision.S1,クラウドに常駐させてはならないデータの基準があり、直近の棚卸しで禁止データが常駐していないことを確認して例外を記録したか,yes,常駐禁止データ基準あり。移行前の棚卸しで確認・例外記録済み(組織側統制)
L_unattended_supervision.S2,承認要求が承認者に届き応答されるまでの実測値を持ち、応答されないまま期限切れになったときのエスカレーション経路を定義しているか,unknown,承認要求の到達 SLA が公式未明示。自組織でも未実測
L_unattended_supervision.S3,承認が無い限り外部へ何も出ないことを、試験(試験送信など)で実際に確認したか,yes,公式保証(Nothing ships until approved)に加え、試験送信で承認前送信が起きないことを確認
