id,質問,回答,メモ
target,対象業務名,月次経費データ突合の夜間長時間エージェントへの委任(ミドリ精機 情報システム部門・基盤付属ゲート構成),
L1.Q1,判断基準は文書化され、暗黙知に依存していないか,yes,
L1.Q2,例外ケースは(暗黙でなく)例外手続きとして明文化されているか,yes,
L1.Q3,規定集は版管理されているか(改定日・理由・履歴を辿れるか),yes,
L1.Q4,SOP は第三者が読んで再現できる粒度で書かれているか,yes,
L2.Q1,規定の各条項を「どの入力を・どの条件で・どう判定するか」の三つ組に落とせるか,yes,
L2.Q2,決定論的処理・LLM の推論・人間へのエスカレーションの線引きが明確か,yes,
L2.Q3,判定ロジックの変更時に精度劣化を検出する回帰テストがあるか,yes,
L3.Q1,第三者が同一入力で同じ判定を採点できるか,yes,
L3.Q2,判定根拠を規定の条番号(または SOP のステップ番号)に紐付けられるか,yes,
L3.Q3,正解を定義しにくい領域(倫理判断・新規ポリシー策定)を委任対象から除外できているか,yes,
L3.Q4,後から監査ログで判定を再現できるか,yes,
L4.Q1,職務分掌を保つため「判定」と「実行」が分離されているか,yes,
L4.Q2,判定根拠(参照規定 + チェック項目)をログから取り出せるか,yes,
L4.Q3,監査ログは Who/When/What/Why/Result を構造化スキーマで記録しているか,yes,
L4.Q4,規定改定後も過去判定を再検証できるよう、規定バージョンをログに固定しているか,yes,
L4.Q5,誤承認の補正フローが設計され、ログに残るか,yes,
efficacy.E1,削減数値の分母・基準値・期間を説明できるか,yes,
efficacy.E2,期待値(ベンダー試算)と実績(自社実測)を区別しているか,yes,
efficacy.E3,数値の対象範囲(業務全体か一部か)を明示しているか,yes,
efficacy.E4,AI 起因の誤承認・誤差し戻しを効率とは別に集計しているか,yes,
organization.C1,8〜12 ヶ月以内に「やめる」と決められる権限と文化があるか,yes,
organization.C2,受け皿となる全社リテラシー層(ビジネス側人材)が 2 桁人数まで育っているか,yes,
organization.C3,AI ツール基盤(Copilot・社内チャット・RAG)が個人レベルで定着しているか,yes,
organization.C4,知識移転契約で内面化(SECI の I)を KPI にできるか(例: IPA モデル契約),yes,
organization.C5,拡大期の漸進分割(Stream-aligned から Complicated-Subsystem / Platform への切り出し)を事前に設計できるか,yes,
organization.C6,bus factor 対策(ペアプロ・ADR・Knowledge Transfer Day)を運用しているか,yes,
L_trajectory_enforcement.E1,副作用(書き込み・ネットワーク送信・外部 API 呼び出し)が通る経路を棚卸しし、すべての経路が該当する admission policy(通行審査)の強制下にあって、審査を迂回できる経路が無いことを試験または構成証跡で確認したか,no,
L_trajectory_enforcement.E2,承認を拒否・停止した状態で、並行して走る別処理の副作用が実行されないことを、実際に並列タスクを投げる試験で確認したか(構成証跡で代える場合は、並列分岐だけでなく重複起動・retry・非同期の子ジョブ・別 worker を含め、同じ副作用範囲に並行実行が構成上存在しないことまで示すこと),no,
L_trajectory_enforcement.E3,長時間タスクを compaction(文脈要約)が走る長さまで実走させ、制約が保たれていることを確認したか(要約後の文脈の検査でも、要約後も禁止操作が拒否されることの決定論的試験でもよい。構成証跡で代える場合は、要約だけでなく履歴の切り捨て・セッション再構築など制約を落としうる文脈の変換が構成上発生しないこと、または制約が可変文脈の外側で強制されることまで示すこと),no,
L_trajectory_enforcement.E4,禁止事項・制約が compaction の対象外(固定バッファまたは再注入の仕組み)であることを構成で確認し、要約後の生存または再注入を検査した記録があるか(system message に置いたという自己申告だけでは yes にしない。E3 と同じ代替証跡 — 制約を落としうる文脈の変換が構成上発生しない、または制約が可変文脈の外側で強制される — でもよい),no,
L_trajectory_oversight.O1,監視・分類の判断根拠が、ユーザーの指示・実行される tool call・独立に検証された観測に基づいており、エージェント自身の発言・reasoning(自己申告)を信頼根拠にしていないことを、監視の入力スキーマの確認または評価記録で確かめたか,no,
L_trajectory_oversight.O2,検知時に人間をいつ呼ぶか(拒否理由を返して自動継続 / 閾値エスカレーション / 全件人間確認)がリスク分類に応じて定義され、その選択で運用した記録があるか,yes,
L_trajectory_oversight.O3,承認プロンプトの承認率を期間・母数つきで計測しており、承認率が高止まりしたときに確認ステップを再設計する運用の記録があるか,no,
