id,質問,回答,メモ
target,対象業務名,AI 開発ワークフローの内製化判断(ミドリ精機 DX推進室),
L1.Q1,判断基準は文書化され、暗黙知に依存していないか,yes,開発ワークフローの判断基準を DX推進室の規程として文書化済みだから yes
L1.Q2,例外ケースは(暗黙でなく)例外手続きとして明文化されているか,yes,例外ケースを例外手続きとして規程に明文化しているから yes
L1.Q3,規定集は版管理されているか(改定日・理由・履歴を辿れるか),yes,規程集を改定日・理由・履歴付きで版管理しているから yes
L1.Q4,SOP は第三者が読んで再現できる粒度で書かれているか,yes,SOP を第三者が読んで再現できる粒度で整備しているから yes
L2.Q1,規定の各条項を「どの入力を・どの条件で・どう判定するか」の三つ組に落とせるか,yes,規程の各条項を入力・条件・判定の三つ組に落とせるから yes
L2.Q2,決定論的処理・LLM の推論・人間へのエスカレーションの線引きが明確か,yes,決定論的処理・LLM・人間エスカレーションの線引きを設計済みだから yes
L2.Q3,判定ロジックの変更時に精度劣化を検出する回帰テストがあるか,yes,判定ロジック変更時に精度劣化を検出する回帰テストがあるから yes
L3.Q1,第三者が同一入力で同じ判定を採点できるか,yes,第三者が同一入力で同じ判定を採点できる基準があるから yes
L3.Q2,判定根拠を規定の条番号(または SOP のステップ番号)に紐付けられるか,yes,判定根拠を規程の条番号に紐付けて記録しているから yes
L3.Q3,正解を定義しにくい領域(倫理判断・新規ポリシー策定)を委任対象から除外できているか,yes,正解を定義しにくい領域を委任対象から除外済みだから yes
L3.Q4,後から監査ログで判定を再現できるか,yes,監査ログから過去の判定を再現できるから yes
L4.Q1,職務分掌を保つため「判定」と「実行」が分離されているか,yes,判定と実行を分離して職務分掌を保っているから yes
L4.Q2,判定根拠(参照規定 + チェック項目)をログから取り出せるか,yes,参照規程とチェック項目をログから取り出せるから yes
L4.Q3,監査ログは Who/When/What/Why/Result を構造化スキーマで記録しているか,yes,Who/When/What/Why/Result を構造化スキーマで記録しているから yes
L4.Q4,規定改定後も過去判定を再検証できるよう、規定バージョンをログに固定しているか,yes,規程バージョンをログに固定し過去判定を再検証できるから yes
L4.Q5,誤承認の補正フローが設計され、ログに残るか,yes,誤承認の補正フローを設計しログに残しているから yes
efficacy.E1,削減数値の分母・基準値・期間を説明できるか,yes,削減数値の分母・基準値・期間を説明できるから yes
efficacy.E2,期待値(ベンダー試算)と実績(自社実測)を区別しているか,yes,ベンダー試算と自社実測を区別して管理しているから yes
efficacy.E3,数値の対象範囲(業務全体か一部か)を明示しているか,yes,数値の対象範囲を業務単位で明示しているから yes
efficacy.E4,AI 起因の誤承認・誤差し戻しを効率とは別に集計しているか,yes,AI 起因の誤承認・誤差し戻しを効率とは別に集計しているから yes
organization.C1,8〜12 ヶ月以内に「やめる」と決められる権限と文化があるか,yes,12 ヶ月以内に中止を決められる権限と文化があるから yes
organization.C2,受け皿となる全社リテラシー層(ビジネス側人材)が 2 桁人数まで育っているか,yes,受け皿となるビジネス側人材が 2 桁人数まで育っているから yes
organization.C3,AI ツール基盤(Copilot・社内チャット・RAG)が個人レベルで定着しているか,yes,Copilot・社内 RAG が個人レベルで定着しているから yes
organization.C4,知識移転契約で内面化(SECI の I)を KPI にできるか(例: IPA モデル契約),yes,知識移転契約で内面化を KPI にできるから yes
organization.C5,拡大期の漸進分割(Stream-aligned から Complicated-Subsystem / Platform への切り出し)を事前に設計できるか,yes,拡大期のチーム分割を事前に設計済みだから yes
organization.C6,bus factor 対策(ペアプロ・ADR・Knowledge Transfer Day)を運用しているか,yes,ペアプロ・ADR を日常運用しているから yes
L_insourcing.I0,コア/ノンコアの線引き(何を内製範囲と呼ぶか)が文書化され、社内の固有名で決裁されているか,yes,コア/ノンコアの線引きを文書化し社内の固有名で決裁済みだから yes
L_insourcing.I1,要件の優先順位(何を作り、何を作らないか)を社内の固有名が決裁しているか,yes,要件の優先順位を社内 PM が固有名で決裁しているから yes
L_insourcing.I2,主要な技術選定(アーキテクチャ)の最終判断を社内の固有名が持っているか,no,アーキテクチャの最終判断が実質ベンダー任せで社内の固有名が無いから no
L_insourcing.I3,受入基準(合否ライン)を社内の固有名が定義し、成果物を検収しているか,yes,受入基準を社内の担当者が固有名で定義し検収しているから yes
L_insourcing.I4,例外・差し戻しのとき、どこで人が介入し誰が責任を負うかが定義されているか,yes,例外・差し戻し時の介入点と責任者を定義済みだから yes
